transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Vanderbilt Road, London, SW18",5.0,3,,4750.0,1096.0,5 bedroom terraced house to rent,Terraced,SW18,Savills - Wandsworth,omt,https://www.onthemarket.com/details/15383726/,Added > 14 days
rent,Joyners Close Dagenham,2.0,1,,1900.0,438.0,2 bedroom terraced house to rent,Terraced,Dagenham,,omt,https://www.onthemarket.com/details/15695892/,Added today
rent,"Tritton Road, London SE21",1.0,1,,750.0,173.0,1 bedroom in a flat share to rent,Flat,SE21,,omt,https://www.onthemarket.com/details/15695809/,Added today
rent,"Malden Road, New Malden KT3",1.0,1,,750.0,173.0,1 bedroom in a house share to rent,House,KT3,,omt,https://www.onthemarket.com/details/15695582/,Added today
rent,"Avon Road, Upminster RM14",2.0,1,,1700.0,392.0,2 bedroom apartment to rent,Apartment,RM14,,omt,https://www.onthemarket.com/details/15681803/,Added today
rent,"Brompton Road, London SW3",2.0,1,,3999.0,923.0,2 bedroom apartment to rent,Apartment,SW3,,omt,https://www.onthemarket.com/details/15693983/,Added yesterday
rent,"Allitsen Road, London NW8",,1,,1898.0,438.0,Studio to rent,Studio,NW8,,omt,https://www.onthemarket.com/details/15693975/,Added yesterday
rent,"Cobourg Road, London SE5",3.0,1,,1850.0,427.0,3 bedroom apartment to rent,Apartment,SE5,,omt,https://www.onthemarket.com/details/15693952/,Added yesterday
rent,"Warltersville Road, London N19",2.0,1,,2395.0,553.0,2 bedroom apartment to rent,Apartment,N19,,omt,https://www.onthemarket.com/details/15693942/,Added yesterday
rent,"Buckland Crescent, London NW3",1.0,1,,1798.0,415.0,1 bedroom flat to rent,Flat,NW3,,omt,https://www.onthemarket.com/details/15693939/,Added yesterday
rent,"Barking Road, London E13",2.0,1,,2350.0,542.0,2 bedroom apartment to rent,Apartment,E13,,omt,https://www.onthemarket.com/details/15693938/,Added yesterday
rent,"Adenmore Road, London SE6",1.0,1,,2599.0,600.0,1 bedroom apartment to rent,Apartment,SE6,,omt,https://www.onthemarket.com/details/15693937/,Added yesterday
rent,"Marsh Wall, London E14",1.0,1,,2750.0,635.0,1 bedroom flat to rent,Flat,E14,,omt,https://www.onthemarket.com/details/15693935/,Added yesterday
rent,"Woodfarrs, London SE5",5.0,2,,4650.0,1073.0,5 bedroom townhouse to rent,,SE5,,omt,https://www.onthemarket.com/details/15693933/,Added yesterday
rent,"Westferry Circus, London E14",2.0,2,,2730.0,630.0,2 bedroom flat to rent,Flat,E14,,omt,https://www.onthemarket.com/details/15693923/,Added yesterday
rent,"Riggindale Road, London, SW16",2.0,1,,1750.0,404.0,2 bedroom penthouse to rent,Penthouse,SW16,,omt,https://www.onthemarket.com/details/15693392/,Added yesterday
rent,"Francis Avenue, Ilford",4.0,1,,2500.0,577.0,4 bedroom terraced house to rent,Terraced,Ilford,,omt,https://www.onthemarket.com/details/15692510/,Added yesterday
rent,"BEAUTIFUL 2 BED FLAT | FIRST FLOOR | AVAIL NOW, London E11",2.0,1,,1700.0,392.0,2 bedroom flat to rent,Flat,E11,,omt,https://www.onthemarket.com/details/15692002/,Added yesterday
rent,"Crawford Street, Marylebone W1",,1,,1600.0,369.0,Studio to rent,Studio,W1,,omt,https://www.onthemarket.com/details/10135003/,Added yesterday
rent,"Loch Crescent, Edgware HA8",2.0,1,,950.0,219.0,2 bedroom flat share to rent,Flat,HA8,,omt,https://www.onthemarket.com/details/15691323/,Added yesterday
rent,"Willesden Lane, London NW6",3.0,1,,2100.0,485.0,3 bedroom flat to rent,Flat,NW6,,omt,https://www.onthemarket.com/details/15691076/,Added yesterday
rent,"Belgrave Road, London SW1V",,1,,2426.0,560.0,Studio to rent,Studio,SW1V,,omt,https://www.onthemarket.com/details/15688233/,Added yesterday
rent,"Kenwood Road, London N9",1.0,2,,600.0,138.0,1 bedroom in a flat share to rent,Flat,N9,,omt,https://www.onthemarket.com/details/15688422/,Added yesterday
rent,"Elm Road, New Malden KT3",1.0,1,,850.0,196.0,1 bedroom in a house share to rent,House,KT3,,omt,https://www.onthemarket.com/details/15688136/,Added yesterday
rent,"St. Johns Road, Isleworth TW7",,1,,1325.0,306.0,Studio to rent,Studio,TW7,,omt,https://www.onthemarket.com/details/15688130/,Added yesterday
rent,"Seaford Road, West Ealing",2.0,1,,2000.0,462.0,2 bedroom maisonette to rent,Maisonette,Ealing,,omt,https://www.onthemarket.com/details/15687738/,Added yesterday
rent,"Nelson Street, London E6",1.0,1,,450.0,104.0,1 bedroom in a house share to rent,House,E6,,omt,https://www.onthemarket.com/details/15685657/,Added < 7 days
rent,"Blackburn Way, Hounslow TW4",1.0,1,,720.0,166.0,1 bedroom in a flat share to rent,Flat,TW4,,omt,https://www.onthemarket.com/details/15685629/,Added < 7 days
rent,"Hampden Road, London N8",1.0,2,,640.0,148.0,1 bedroom in a house share to rent,House,N8,,omt,https://www.onthemarket.com/details/15684231/,Added < 7 days
rent,Hayes UB3,,1,,1200.0,277.0,Studio to rent,Studio,UB3,,omt,https://www.onthemarket.com/details/15684030/,Added < 7 days
rent,"Mayes Road, London",2.0,1,,2600.0,600.0,2 bedroom flat to rent,Flat,London,Cole Harding - Northumberland Park,omt,https://www.onthemarket.com/details/15691090/,Added yesterday
rent,"London Road, Kingston upon Thames KT2",2.0,1,,1800.0,415.0,2 bedroom apartment to rent,Apartment,KT2,,omt,https://www.onthemarket.com/details/15683107/,Added < 7 days
rent,"Balfour Road, Hounslow TW3",,1,,950.0,219.0,Studio to rent,Studio,TW3,,omt,https://www.onthemarket.com/details/15682662/,Added < 7 days
rent,"Fairholme Road, London W14",,1,,1950.0,450.0,Studio to rent,Studio,W14,,omt,https://www.onthemarket.com/details/15680455/,Added < 7 days
rent,"Whitechapel Road, London E1",2.0,1,,2200.0,508.0,2 bedroom apartment to rent,Apartment,E1,,omt,https://www.onthemarket.com/details/15682147/,Added < 7 days
rent,"Lausanne Road, London N8",1.0,2,,650.0,150.0,1 bedroom in a house share to rent,House,N8,,omt,https://www.onthemarket.com/details/15680562/,Added < 7 days
rent,"Westferry Circus, Circus Apartments, Canary Wharf",2.0,2,,3553.0,820.0,2 bedroom apartment to rent,Apartment,Wharf,,omt,https://www.onthemarket.com/details/10599287/,Added < 7 days
rent,"Harlyn Drive, Pinner HA5",1.0,1,,750.0,173.0,1 bedroom in a house share to rent,House,HA5,,omt,https://www.onthemarket.com/details/15680450/,Added < 7 days
rent,"Kynance Gardens, Stanmore HA7",1.0,1,,750.0,173.0,1 bedroom in a house share to rent,House,HA7,,omt,https://www.onthemarket.com/details/15680367/,Added < 7 days
rent,"Bedford Road, Ilford IG1",,,,670.0,155.0,House share to rent,,IG1,,omt,https://www.onthemarket.com/details/15678631/,Added < 7 days
rent,"Chaucer Gardens, Sutton SM1",4.0,1,,2550.0,588.0,4 bedroom semi-detached house to rent,Semi-detached,SM1,,omt,https://www.onthemarket.com/details/15678425/,Added < 7 days
rent,"Stayton Road, Sutton SM1",4.0,2,,2700.0,623.0,4 bedroom semi-detached house to rent,Semi-detached,SM1,,omt,https://www.onthemarket.com/details/15678374/,Added < 7 days
rent,"Tottenhall Road, London, N13",2.0,1,,1700.0,392.0,2 bedroom flat to rent,Flat,N13,,omt,https://www.onthemarket.com/details/2617551/,Added today
rent,"Queens Road, London E11",2.0,1,,1900.0,438.0,2 bedroom flat to rent,Flat,E11,,omt,https://www.onthemarket.com/details/15695893/,Added today
rent,"Eversley Avenue, Barnehurst, Kent",1.0,1,,800.0,185.0,1 bedroom semi-detached house to rent,Semi-detached,Kent,,omt,https://www.onthemarket.com/details/15695887/,Added today
rent,"Hillworth, Court Downs Road, Beckenham, Kent, BR3",2.0,1,,1750.0,404.0,2 bedroom flat to rent,Flat,BR3,,omt,https://www.onthemarket.com/details/12544298/,Added today
rent,"Gateway Court, Convent Way, Southall, UB2 5PT",2.0,2,,1750.0,404.0,2 bedroom flat to rent,Flat,5PT,,omt,https://www.onthemarket.com/details/15695858/,Added today
rent,"Connersville Way, Croydon CR0",2.0,2,,1750.0,404.0,2 bedroom apartment to rent,Apartment,CR0,,omt,https://www.onthemarket.com/details/15695849/,Added today
rent,George Lane London SE13,,1,,1250.0,288.0,Studio to rent,Studio,SE13,,omt,https://www.onthemarket.com/details/15695835/,Added today
