transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Kings Road, London, SW3",2,1,,3683,850,"Located in this period building on the corner of Tryon Street and the Kings Road. This flat offers two bedrooms, large bathroom, well fitted open plan kitchen, reception room and benefits from wood flooring throughout. Well connnected by public transport with Sloane Square ...",Apartment,SW3,"Berkshire Hathaway HomeServices, Knightsbridge",rightmove,https://www.rightmove.co.uk/properties/151366898#/?channel=RES_LET,15/08/2024
rent,Muswell Road Muswell Hill N10,2,1,,2000,462,"A modern two bedroom top floor conversion apartment to rent in Muswell Hill, situated close to the Broadway and local transport links.",Flat,N10,"Kinleigh Folkard & Hayward - Lettings, Muswell Hill",rightmove,https://www.rightmove.co.uk/properties/151716743#/?channel=RES_LET,2024-08-24
rent,"Balls Pond Road, London, N1",3,2,,3500,808,"A charming three-bedroom period conversion within a mid-terraced house. This apartment offers a blend of classic appeal and modern convenience, just a short stroll from Dalston Junction. Enjoy easy access to the City, making it an ideal home for those seeking both comfort and connectivity.",Flat,N1,"JBrown, London",rightmove,https://www.rightmove.co.uk/properties/151716521#/?channel=RES_LET,2024-08-24
rent,"Furley Road, Peckham",5,2,,4100,946,Freshly painted throughout / Fully Furnished / Five Double bedrooms / 2 Bathrooms / Private Garden / Kitchen-Dining room / Tenancy Professionally managed by our in-house team / Available NOW / £189 per person per week.,Terraced,Peckham,"Gareth James Property, South East London- Lettings",rightmove,https://www.rightmove.co.uk/properties/149533571#/?channel=RES_LET,2024-08-24
rent,"Stroud Green Road, London, N4",1,,,450,104,"Varosi are delighted to offer this double room within a house share set in a great location on Stroud Green Road next to local shops, bus links and a 5 minute walk to Finsbury Park Underground station",House Share,N4,"Varosi Lettings & Estates, London",rightmove,https://www.rightmove.co.uk/properties/151716512#/?channel=RES_LET,2024-08-24
rent,"Albatross, Canada Water, London, SE16",2,2,,2650,612,"Offers over £2650 A stunning two-bedroom, two-bathroom apartment located in the vibrant community of Maple Quays, Canada Water. This modern and spacious residence offers a comfortable and contemporary living space, designed to cater to your every need.",Apartment,SE16,"Metro Village Ltd, Canada Water",rightmove,https://www.rightmove.co.uk/properties/151716473#/?channel=RES_LET,2024-08-24
rent,"Turner Street, Canary Wharf",2,2,,2396,553,"A modern apartment close to Canning Town and Royal Victoria. The large two bedroom property has two bathrooms, open plan kitchen and living room and parking available.",Flat,Wharf,"Dexters, Canary Wharf",rightmove,https://www.rightmove.co.uk/properties/151716470#/?channel=RES_LET,2024-08-24
rent,"Aylmer Parade, Aylmer Road, London",1,1,,1595,368,"The Property Company is pleased to offer this delightful first-floor flat featuring one bedroom, an open-plan modern kitchen and living room, and a stylish shower room. Located in East Finchley, this property is conveniently close to local shops and amenities. Excellent transport links are just m...",House,London,"The Property Company, Crouch End",rightmove,https://www.rightmove.co.uk/properties/151716419#/?channel=RES_LET,2024-08-24
rent,"Cendal Crescent, Bouchon Point, E1",2,2,,3500,808,Air Conditioner and Underfloor Heating | Available September | The Silk District which is minutes away from Whitechapel | Gym | 24 hours concierge | Cinema,Apartment,E1,"One Move Group, London",rightmove,https://www.rightmove.co.uk/properties/151716377#/?channel=RES_LET,2024-08-24
rent,"Stroud Green Road, London, N4",1,,,750,173,"Varosi are delighted to offer this double room within a house share set in a great location on Stroud Green Road next to local shops, bus links and a 5 minute walk to Finsbury Park Underground station",House Share,N4,"Varosi Lettings & Estates, London",rightmove,https://www.rightmove.co.uk/properties/151716302#/?channel=RES_LET,2024-08-24
rent,"Turner Street, Canary Wharf",2,2,,2396,553,"A modern apartment close to Canning Town and Royal Victoria. The large two bedroom property has two bathrooms, open plan kitchen and living room and parking available.",Flat,Wharf,"Waterview, Waterview Shad Thames",rightmove,https://www.rightmove.co.uk/properties/151716299#/?channel=RES_LET,2024-08-24
rent,"Shooters Hill Road, London, SE3",2,1,,2000,462,"B&C Properties is pleased to offer this newly-furbished beautiful 1st floor flat WITH PARKING, located on the Shooters Hill Road. This 2 bed 1 baths apartment is furnished tastefully with brand new appliances and furniture, with built-in wardobes in both bedrooms. The flat also ben...",Apartment,SE3,"B&C Properties, London",rightmove,https://www.rightmove.co.uk/properties/151716287#/?channel=RES_LET,2024-08-24
rent,"Playfield Crescent, London, SE22",4,2,,4100,946,"4 Bed End Terrace, Playfield Crescent, SE22 We are proud to offer this delightful 4 bedroom, 2 bathroom end terrace in a great location. Available to move in from 24 August 2024, this property b... ** Property Reference: 2201698 **",End of Terrace,SE22,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716248#/?channel=RES_LET,2024-08-24
rent,"Bream Close, London, N17",1,1,,1600,369,"1 Bed Flat, Bream Close, N17 We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location. Available to move in from 24 August 2024, this property benefits from available... ** Property Reference: 2147528 **",Flat,N17,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716251#/?channel=RES_LET,2024-08-24
rent,"Springer Court, London, E3",2,1,,2000,462,"2 Bed Flat, Springer Court, E3 We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 14 September 2024, this property benefits from gard... ** Property Reference: 2201719 **",Flat,E3,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716254#/?channel=RES_LET,2024-08-24
rent,"Oslo Tower, London, SE8",1,2,,1600,369,"Room in a Shared Flat, Oslo Tower, SE8 We are proud to offer this delightful room in a 2 bedroom, 2 bathroom shared flat in a great location. Available to move in from 05 October 2024, this prop... ** Property Reference: 2201721 **",Flat Share,SE8,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716257#/?channel=RES_LET,2024-08-24
rent,"Finborough Road, London, SW10",1,1,,2500,577,"ALL BILLS INCLUDED!! An Enchanting Escape in Kensington and Chelsea Immerse yourself in the sophistication of London living with this charming, centrally-located Victorian flat. Nestled in... ** Property Reference: 2201583 **",Flat,SW10,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716233#/?channel=RES_LET,2024-08-24
rent,"Cooks Road, London, SE17",3,1,,2900,669,"3 Bed Flat, Cooks Road, SE17 We are proud to offer this delightful 3 bedroom, 1 bathroom flat in a great location. Available to move in from 27 August 2024. Property is offered furnished. Viewi... ** Property Reference: 2173856 **",Flat,SE17,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151716236#/?channel=RES_LET,2024-08-24
rent,"Elwyn Gardens, London, SE12",2,1,,1750,404,*AVAILABLE MID SEPTEMBER / 1ST FLOOR / MODERN SPEC / UNFURNISHED / PLENTY OF ON ROAD PARKING* This beautiful 2 bedroom flat is PERFECT for a single professional or couple. Local Train Stations: - Lee (5 minute drive or 4 minute bike ride) - Grove Park (9 minute...,Flat,SE12,"Robinson Jackson, Lee",rightmove,https://www.rightmove.co.uk/properties/151716179#/?channel=RES_LET,2024-08-24
rent,"Shooters Hill, London, SE18",1,1,,1800,415,"A newly refurbished, beautiful flat in Shooters Hill. This bright and spacious downstairs flat contains one bedroom, a large reception, kitchen, bathroom, conservatory area and garden access. The... ** Property Reference: 2198213 **",Flat,SE18,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151585229#/?channel=RES_LET,2024-08-24
rent,"Isambard Court, Brentford, TW8",1,1,,2100,485,A rare to market huge 882.6 sqf (82 sqm) one bedroom flat in a beautifully designed less than 5 years old riverside development called Brentford Lock West Phase 2. This exceptional property comp... ** Property Reference: 2194419 **,Flat,TW8,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/151463597#/?channel=RES_LET,2024-08-24
rent,"Slades Gardens, ENFIELD",3,2,,3000,692,"Perfect for an intimate function or a dinner party, this 3 Bedroom home has a kitchen to die for!! Situated in Winchmore Hill, a short journey from local rail stations and various local shops. Minimum contract 12 months. Please call for more details. Rent excludes the Tenancy Deposit and any o...",House,ENFIELD,"Barnfields Estate Agents, Enfield",rightmove,https://www.rightmove.co.uk/properties/151716104#/?channel=RES_LET,2024-08-24
rent,"Hurdwick House, Harrington Square, NW1",4,1,,3999,923,"** Available 11th September** ** Ideal for students ** This stunning 4 bedroom top floor, balcony apartment is situated 1 min walk from Mornington Crescent underground station and from all the amenities trendy Camden has to offer.",Flat,NW1,"Uni Living London, London",rightmove,https://www.rightmove.co.uk/properties/151715993#/?channel=RES_LET,2024-08-24
rent,"Cendal Crescent, Bouchon Point, E1",1,,,3400,785,24/7 Concierge/ Gym/ Furnished /Two Bedroom/ Facilities /New Development /Amazing Views /Central Location,Apartment,E1,"One Move Group, London",rightmove,https://www.rightmove.co.uk/properties/151715951#/?channel=RES_LET,2024-08-24
rent,"Stroud Green Road, London, N4 2DQ",4,1,,3950,912,"Simply gorgeous 4 bedroom maisonette to rent set over 3 floors & offering 1260 sq. ft of space, and benefits from recent renovation throughout. We challenge you to find a property closer to the entrance of Finsbury Park Station! Available late Sept 2024, exclusively via Network Agencies.",Maisonette,2DQ,"Network Agencies, Finsbury Park",rightmove,https://www.rightmove.co.uk/properties/150363983#/?channel=RES_LET,2024-08-24
rent,"Flat 10,122-125Chancery Lane, London, WC2A",1,1,,2999,692,"An exclusive development that sits on the world famous Chancery Lane, within a short stroll of iconic Strand, Covent Garden, Lincoln's Inn Fields and The City of London,A 24 hr concierge is ready to provide exclusive service to the residents.",Flat,WC2A,"Reach London Limited, Rickmansworth",rightmove,https://www.rightmove.co.uk/properties/86878635#/?channel=RES_LET,13/08/2024
rent,"Stroud Green Road, London, N4 2DQ",4,1,,3950,912,"Simply gorgeous 4 bedroom maisonette to rent set over 3 floors & offering 1260 sq. ft of space, and benefits from recent renovation throughout. We challenge you to find a property closer to the entrance of Finsbury Park Station! Available late Sept 2024, exclusively via Network Agencies.",Maisonette,2DQ,"Network Agencies, Finsbury Park",rightmove,https://www.rightmove.co.uk/properties/150363983#/?channel=RES_LET,2024-08-24
